Title,Company,Salary,Description,city,url
Software Developer,Oasis Infotech,,"Your expertise will ensure the stable, fast, and secure exchange of data between servers and end-users. Develop and maintain server-side components.","Vesu, Surat, Gujarat",https://in.indeed.com/rc/clk?jk=e784d66cc3c0f0ad&bb=NRXqrR4ikjZWFa2RG_zzAil4mlJ6B5myxZ4q_5XGGmBshMixoQ3ddcI6U7sCHw_JioAfgQvG4zjB2r0-WsaRjRW_aOIh__eeEGS70i-67xNqXLV8U_K0pMwn_7-Sr-DR&xkcb=SoAR67M3_GRQieQNNB0MbzkdCdPP&fccid=159336e2eb88f04a&cmp=Oasis-Infotech&ti=Software+Engineer&vjs=3
Data Scientist,ABB,,"In this role, you will have the opportunity to support the strategic technology direction by contributing your own ideas for identifying, proposing, and…","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=b01bedbfe699e42e&bb=NRXqrR4ikjZWFa2RG_zzAn1g1DWmW8IUQDOZtZFWu9GvdrJUeZv6baACSEUAF1vUG1MwxZAYnNWtjt_QsnYnoy-KvfnqyddEpCKqxT1xK4UEN0kqmgXCNg%3D%3D&xkcb=SoD467M3_GRQieQNNB0DbzkdCdPP&fccid=38b4474838e7b7a1&vjs=3
IT Project Manager,Ynaps,,YNAPS is a software development + Consultant company seeking to engage an experienced PHP/Bootstrap Web Developer for our projects.,Remote,https://in.indeed.com/rc/clk?jk=49912e1dd6d0b637&bb=NRXqrR4ikjZWFa2RG_zzAvztQbyg2DG503zkOMyOseHzzQyC3au17Jqd5FHmH2IQ-uZxQv1YgNoAMI3oczu3YUv-v2DakjM9SNFYGrel6ZMsCz5uK7Mfwn-7lP7B1pTc&xkcb=SoBM67M3_GRQieQNNB0CbzkdCdPP&fccid=52667627e9d30499&cmp=Ynaps&ti=IT+Project+Manager&vjs=3
Systems Operations Analyst.,FIS Global,,Performs monitoring and operational management functions for associated hardware and software within 24x7 processing environment.,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=255052861ba3e6fd&bb=NRXqrR4ikjZWFa2RG_zzAhs8v3NCz733l9VDZKEj0xukPv3vE6-9pK75VXa-VzvA85pr8AZHW97zkob2XY7gNF32IUBx6txNFR3o2yqR5Ha018vJkPuIwCr03Kr02weZ&xkcb=SoDR67M3_GRQieQNNB0BbzkdCdPP&fccid=74e36d81c894b4b7&vjs=3
System Testing_EVS_ADAS,Bosch Group,,"Job DescriptionExperience in Embedded domain preferably ADAS. Programing skills, Python/Object oriented programming.","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=be76e2f8eec9fe3f&bb=NRXqrR4ikjZWFa2RG_zzAoWT1dyCwUhzJy3yzuFv8_DOnidrjJLcSYVzSV_ihDWXbOlV90VJE04qVOBKN6BK3pqDzAY0MjIYleqK5bI-g-CclR0_Sh3aFvMG1IZEIW_U&xkcb=SoBl67M3_GRQieQNNB0AbzkdCdPP&fccid=a2faf1301ac6ad4b&vjs=3
IT Project Coordinator,Net creative Mind,,Liaising with development and testing teams during all stages of software development lifecycle to provide necessary support in understanding requirements.,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=12b3b7ba5f17792c&bb=NRXqrR4ikjZWFa2RG_zzAsICQskSHv81-hlblyGQYHxAKvvoOmT7HX_Lx0IZrFnk3qcJEZ3AqTveE4y1si-OzbrxPzWmSu6GmY3XYdlrmWSfHBDu1_S4WzjbX4PTsHLb&xkcb=SoDr67M3_GRQieQNNB0HbzkdCdPP&fccid=ccce22ef83c31ff9&cmp=Web-Tech-Aruba&ti=IT+Project+Manager&vjs=3
Software Engineer,Orange,,Troubleshoot software issues and debug large code bases. Have analytical and reasoning skills with an ability to visualise processes and outcomes to drive and…,"Gurugram, Haryana",https://in.indeed.com/rc/clk?jk=0d5d15d2d9978aa3&bb=NRXqrR4ikjZWFa2RG_zzAjoPc1qepRIBSryZGTCdv391Z8NtGcmV6-3zmnrSPYHGqIfSVytXDndLalSky-X4UjTvS11yudCTka8s9VCAMg_QUizrA2zChg%3D%3D&xkcb=SoBf67M3_GRQieQNNB0GbzkdCdPP&fccid=c345b06b9f22e507&vjs=3
Software Engineer,Metron Labs,,You have developed software using web technologies. Metron Security provides automation and integration services to leading Cyber Security companies.,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=18f06d8632aac893&bb=NRXqrR4ikjZWFa2RG_zzAshQvlhC6q6xyyPXQfGIgwRNAMJM-pobC3PXF_fRZpvpLizAdsg-wEcioQSruGjzqdCZH0_CSPs3KPiFn0mB72U4t1rw77gmkc8_xHd5b_mB&xkcb=SoDC67M3_GRQieQNNB0FbzkdCdPP&fccid=3df4ada4ec302931&vjs=3
Python Developer,Caminosoft AI,,Troubleshoot and resolve software defects in a timely manner. Strong understanding of software development methodologies such as Agile and Scrum.,Remote,https://in.indeed.com/rc/clk?jk=0e4fbb5f20171170&bb=ILth0OJJRTEdg7KDJVJSIf7F50WFMXlMOFMfxKUAECN8qluklJevLZmMpCzigh5loM-UAA2LHMcxLHO9bhAA1Dmfmhll7OaihOtO7z5U-rqcn64lzNE_-9efoodCr8w6&xkcb=SoA667M3_GRQSPxZT50KbzkdCdPP&fccid=957ed7d840db1357&vjs=3
Associate Software Developer,Community Brands,,Must be able to comprehend the client’s requirements quickly and give feasible technical solutions in a timely manner.,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=a1aeed5d76a50166&bb=ILth0OJJRTEdg7KDJVJSIQOuXJCVkBYSq3L5ZlTibXTxkoilsZdIpeMqhW6UxEaxe37CFQgh6af0Cd-aRt6BTnocwQKiwgT3HRDTZdYrgB7tN5q1QhT30wrxSGDi9AHQ&xkcb=SoCn67M3_GRQSPxZT50JbzkdCdPP&fccid=13bf482edb701e2c&vjs=3
